FOR SCREEN SPECIFIC FEEDBACK THIS IS THE CORRESPONDING UX,FEEDBACK TYPE,OVASKA NOTES,CO Response
,,,
Overall - across all views,,,
"When selecting a specific row or component of a chart/map, the other dimension grids/charts in the dashboard should not gray out the rows that are not applicable; they should only reflect the applicable rows/elements and be sorted accordingly.",feedback for a specific interaction,,
"When applying filters (main filter option, selecting pill, clicking on chart, etc.), the dashboard opp$, your$ and market share should update accordingly.",general UX feedback,,
"Filters - we should add the following dimensions - salesperson, category (we should rename ""M*"" aka Morningstar and just call the dimension ""Category"" until we determine licensing), firm, office, team, financial advisor, and focus categories to all dashboard views. Noting we will likely add more filters once we have access to real data loaded (i.e. private wealth flag, possibly confidence level (if Actual, vs FA attribution), FA Total AUM bands, etc.).",???,Not sure I understand this one. Is it the same as line 8?,"We need additional dimensions added to the filter options - firm, office, team, etc. are all data dimensions that we will wantot filter on"
"I think we will need to reimagine the layout of the filter control panel; the pill option may only work where there are limited members of the dimension. For example, there will only be a few regions or vehicles however there will be many salesperson, category, firm, etc. - suggest dropdown with search ability. ",general UX feedback,,
"We have time period in the filter option but also a separate time parameter; think these should be kept separate and not duplicated. When selecting a custom time period, we will need to provide ability to select begin and end month/year. Also, we will need some type of tool tip that explains what data sources are available through the respective time periods - e.g. MS may be from Jan 2026 - July 2026 however, LPL may only be Jan 2026 - June 2026, etc. Noting we intend to project stale data to the current period with time synthesis process (so if MS data pack through March, but SSNC through June, will use the Office level data to fill in the gap and unify all data to the current max period. This will need to be clearly flagged, maybe an asterisk next to time period that explains the time synthesis process, and also display that max data from the actual data pack sources).","Need ""filter by time"" user micro-journey",,"Separate than item 6 but related to filters, need specific time parameter filter, and enhancement to existing time parameter. "
"Can we give the user the ability to swap out the dimension in any of the grids/charts - e.g. swap category to vehicle or sales rep to region, etc.","Need ""change source for dimension"" user micro-journey",,
"Customize view - I know we discussed our default page layouts limit ability to create custom views and maybe creating blank page where they can create customized page but need to be careful as doughnut chart on net sales measure doesn't work, etc.",general UX feedback,,
"Export function at the top of the page, since there are multiple tables, dimensions and measures on each page, how do they determine what they want to export? Maybe it can be similar to filter menu and they select specific table, dimension, measures? Ideally the user would have option for full page pdf or individual grid csv/ excel files, etc.","Need ""Export data"" user micro-journey",,
"We should have consistent terminology across dashboards - ""AUM"", ""Inflows"", and ""Net Flows"". Currently it varies across dashboards: Inflow, Total Inflows, YTD gross inflows, Netflow, Net Flow, Total net flow, etc.",Document UX terminology and validate across departments,Product needs to lead the creation of a UX lexicon that can apply universally across entire product. ,Noted however there is specific terminaology in the AM space that will resonate; if you chage naming conventions it will confuse the audience. 
"The same consistency for Market, Mkt Opp, and Opp. I think we should we label it ""Mkt Opp"". Currently it varies across dashboard.",Document UX terminology and validate across departments,,
"The same consistency for Market Share, the bottom 3 grids on Mgmt dashboard label market share column as ""MKT S-R"" and all other grids refer to ""Share"". Recommend ""MKT SHR"" or ""MKT SHARE"", if real estate permits.",Document UX terminology and validate across departments,,
Not sure we need the second reference to inflows/net flows under the actual $ values? Maybe show YoY % change across all?,feedback for a specific interaction,,
,,,
,,,
Grid alignment shifts slightly post active selection. Ideally grids remain stationary regardless of any filter selections.,general UX feedback,,
"Related to the above shifting, active selections should show directly next to the corresponding header. In the Management and Opp dashboards, they appear under the 'Active Selections' header which causes grids to shift.",feedback for a specific interaction,,
  ,,,
,,,
"• Home - suggest we rename to ""Ask Field""",,,
• Are we able to add microphone option for the ability to speak/narrate rather than type in the question?,Feature request,The ability for voice recognition input is becoming table stakes but not MVP; we should ensure it is a fast-follow on MVP.,Excellent!
"• We should discuss mobile (cell phone, tablet view). Ideally the layout will auto optimize based on the device.",general UX feedback,All of Field Product should be workable on mobile. Because the platform will be a workstation we need to be very thoughtful about key tasks users might want to action on smaller screens.,Noted
"• What is purpose of the search at the top of the page vs the regular ""how can I help"" text box; shouldn't the user be able to type the question/search in the main text box?",general UX feedback,"A universal search would be ideal. I personally hate having competing search boxes. What I mean by universal search is that even if there are many search boxes on a screen the mech and results should be largely the same. There are emerging standards to accomplish this elegantly. Otherwise, if the search is intended to be so narrow that general search is clunky... it should be moved to be a filter or type-ahead.","Welcome suggestions but we definitley need filters and typically user needs to search through the dimension for what they want to fitler on, seems duplicative to have both"
"• We made up those few examples of default questions listed below the text box - are we able to list most common or recent inquiries? Would the Suggested Actions work differently, maybe leverage learnings based on the specific user? I also see the paper clip icon, could be helpful allowing users to upload a file that we could match against the underlying data set; this could be helpful for events or lists the wholesalers may be managing? We will definitely have a lot more work to do here, once we have live data, thinking through the prompt engineering and testing results / methodology of the responses, and display of data lineage if the user desires to probe.",general UX feedback,"Suggested should be across two vectors at least: First, searches at the platform or Field-defined level. This will be us projecting a bit and that's intentional. Second, it should be user-level based on real activity.",Makes sense
"• When Ask Field delivers results, I do like the current list view and think easy to act on however we also discussed creating a visual version. Not sure how this would work, would it be based on the question asked or is it an option the user can select to see list vs. visual?",???,,
"• The options at the bottom of the key insights, not sure we'll have the ability to schedule meeting or create marketing material and can view the client profile directly from the row so I think these can be removed.",general UX feedback,,
,,,
Management,,,
"• The top 2 charts have market share label on the right axis however missing ""Market Opportunity"" label on the left axis.",feedback for a specific view,,
"• The top left chart is labeled Opp AUM vs Mkt Share but think we should call it ""Market Share Trend"" or just ""Trend"". With the ability to swap dimensions, the chart/table labels will need to by dynamic - e.g. if they swap Channel Breakdown chart to Region the label should update accordingly.",feedback for a specific view,,
"• In the Channel Breakdown chart, not sure the line should be a single line across all channels but be independent for each channel/column; it makes sense in the trend chart to be a single line across time periods.",feedback for a specific view,,
