FOR SCREEN SPECIFIC FEEDBACK THIS IS THE CORRESPONDING UX,FEEDBACK TYPE,OVASKA NOTES,CO Response,STATUS,HOW IT WAS SOLVED
,,,,,
Overall - across all views,,,,,
"When selecting a specific row or component of a chart/map, the other dimension grids/charts in the dashboard should not gray out the rows that are not applicable; they should only reflect the applicable rows/elements and be sorted accordingly.",feedback for a specific interaction,,,Done,"Non-matching rows are now removed from the other grids and charts rather than dimmed, and the remaining rows re-sort by the active measure."
"When applying filters (main filter option, selecting pill, clicking on chart, etc.), the dashboard opp$, your$ and market share should update accordingly.",general UX feedback,,,Done,"Mkt Opp $, Your $ and Mkt Share recalculate from the filtered set no matter the filter source - panel, pill, chart click, map click or row select."
"Filters - we should add the following dimensions - salesperson, category (we should rename ""M*"" aka Morningstar and just call the dimension ""Category"" until we determine licensing), firm, office, team, financial advisor, and focus categories to all dashboard views. Noting we will likely add more filters once we have access to real data loaded (i.e. private wealth flag, possibly confidence level (if Actual, vs FA attribution), FA Total AUM bands, etc.).",???,Not sure I understand this one. Is it the same as line 8?,"We need additional dimensions added to the filter options - firm, office, team, etc. are all data dimensions that we will wantot filter on",Done,"Added Salesperson, Category (renamed from M*), Firm, Office, Team, Financial Advisor and Focus Categories to the filter panel on all views, with a placeholder note for the dimensions arriving with real data."
"I think we will need to reimagine the layout of the filter control panel; the pill option may only work where there are limited members of the dimension. For example, there will only be a few regions or vehicles however there will be many salesperson, category, firm, etc. - suggest dropdown with search ability.�",general UX feedback,,,Done,"Pills kept only for low-cardinality dimensions (Region, Channel, Vehicle, Advantage); Salesperson, Firm, Office, Team, FA, Category and Focus became searchable dropdowns with type-ahead, select-all, clear and count badges. Panel grouped Territory / Distribution / Product."
"We have time period in the filter option but also a separate time parameter; think these should be kept separate and not duplicated. When selecting a custom time period, we will need to provide ability to select begin and end month/year. Also, we will need some type of tool tip that explains what data sources are available through the respective time periods - e.g. MS may be from Jan 2026 - July 2026 however, LPL may only be Jan 2026 - June 2026, etc. Noting we intend to project stale data to the current period with time synthesis process (so if MS data pack through March, but SSNC through June, will use the Office level data to fill in the gap and unify all data to the current max period. This will need to be clearly flagged, maybe an asterisk next to time period that explains the time synthesis process, and also display that max data from the actual data pack sources).","Need ""filter by time"" user micro-journey",,"Separate than item 6 but related to filters, need specific time parameter filter, and enhancement to existing time parameter. ",Done,Time period removed from the filter panel so the toolbar control is the only one. Custom Range opens begin/end month-year pickers. An asterisk button opens a coverage table showing each source actual max period plus an explanation of the time synthesis process; synthesized sources carry their own asterisk.
"Can we give the user the ability to swap out the dimension in any of the grids/charts - e.g. swap category to vehicle or sales rep to region, etc.","Need ""change source for dimension"" user micro-journey",,,Done on Management only,"Each Management grid header has a dimension swap across all nine dimensions, and the breakdown chart can pivot to Channel, Region, Vehicle, Firm or Category. NOT DONE on Opportunity, Competitive Advantage and Distribution - those grids are shaped differently and need a data-model change first."
"Customize view - I know we discussed our default page layouts limit ability to create custom views and maybe creating blank page where they can create customized page but need to be careful as doughnut chart on net sales measure doesn't work, etc.",general UX feedback,,,Not done,Blank-canvas custom view builder parked at your direction.
"Export function at the top of the page, since there are multiple tables, dimensions and measures on each page, how do they determine what they want to export? Maybe it can be similar to filter menu and they select specific table, dimension, measures? Ideally the user would have option for full page pdf or individual grid csv/ excel files, etc.","Need ""Export data"" user micro-journey",,,Done,"Export button opens a filter-menu-style panel: choose full page or specific tiles, then dimensions and measures, then PDF (full page) or CSV / Excel (one file or sheet per grid). Active filters and period are carried into the export and stamped in the file header."
"We should have consistent terminology across dashboards - ""AUM"", ""Inflows"", and ""Net Flows"". Currently it varies across dashboards: Inflow, Total Inflows, YTD gross inflows, Netflow, Net Flow, Total net flow, etc.",Document UX terminology and validate across departments,Product needs to lead the creation of a UX lexicon that can apply universally across entire product. ,Noted however there is specific terminaology in the AM space that will resonate; if you chage naming conventions it will confuse the audience. ,Done,"Standardized on AUM, Inflows and Net Flows across all dashboards, drawers and detail pages, replacing Inflow, Total Inflows, YTD gross inflows, Netflow, Net Flow and Total net flow."
"The same consistency for Market, Mkt Opp, and Opp. I think we should we label it ""Mkt Opp"". Currently it varies across dashboard.",Document UX terminology and validate across departments,,,Done,"Standardized on Mkt Opp across all pages, tiles, tables and drawers."
"The same consistency for Market Share, the bottom 3 grids on Mgmt dashboard label market share column as ""MKT S-R"" and all other grids refer to ""Share"". Recommend ""MKT SHR"" or ""MKT SHARE"", if real estate permits.",Document UX terminology and validate across departments,,,Done,"Standardized on MKT SHARE on all grid headers, replacing MKT S-R and Share. KPI cards and tooltips spell out Mkt Share where space allows."
Not sure we need the second reference to inflows/net flows under the actual $ values? Maybe show YoY % change across all?,feedback for a specific interaction,,,Done,Removed the duplicated measure name under each dollar value and replaced it with YoY % change on every card; share cards show the change in points.
,,,,,
,,,,,
Grid alignment shifts slightly post active selection. Ideally grids remain stationary regardless of any filter selections.,general UX feedback,,,Done,The selection bar is now a fixed-height region so grids stay stationary regardless of filter selections.
"Related to the above shifting, active selections should show directly next to the corresponding header. In the Management and Opp dashboards, they appear under the 'Active Selections' header which causes grids to shift.",feedback for a specific interaction,,,Done,"Active selections render inline beside the page title in the top bar, so nothing below reflows when they appear."
��,,,,,
,,,,,
"� Home - suggest we rename to ""Ask Field""",,,,Done,Renamed Home to Ask Field in the nav and page header.
� Are we able to add microphone option for the ability to speak/narrate rather than type in the question?,Feature request,The ability for voice recognition input is becoming table stakes but not MVP; we should ensure it is a fast-follow on MVP.,Excellent!,Not done,Voice input noted as a fast-follow after MVP.
